Type,median_time,low,up,Type1,strains
DCC1,1960.861269,1936.948238,1978.867958,DCC,2659
DCC2,1953.369604,1937.341505,1964.636453,DCC,997
DCC3,1951.855663,1934.781835,1963.49185,DCC,1387
DCC4,2001.705286,1995.720839,2005.387691,DCC,370
DCC5,1990.241071,1981.424009,1995.743269,DCC,126
DCC6,1989.795664,1980.078131,1997.322171,DCC,280
DCC7,1982.786164,1970.919948,1991.654675,DCC,145
eDCC8,2017.613983,2016.423167,2018.235796,eDCC,243
eDCC9,2003.032869,1996.277188,2008.133456,eDCC,169
eDCC10,2001.411699,1995.872819,2004.948784,eDCC,135
eDCC11,1997.684211,1988.773654,2002.940824,eDCC,130
eDCC12,1995.42434,1986.144381,2001.070103,eDCC,125
eDCC13,2007.089985,2000.834627,2010.532854,eDCC,119
eDCC14,1981.933617,1969.902291,1990.200026,eDCC,104
eDCC15,2002.314567,1994.533262,2011.924857,eDCC,77
eDCC16,1994.064513,1986.10617,1999.034287,eDCC,72
eDCC17,1992.20285,1984.203892,1997.599866,eDCC,59
eDCC18,2013.883706,2012.041957,2015.175074,eDCC,52
eDCC19,2016.949329,2015.16763,2017.865884,eDCC,44
eDCC20,2006.523719,2000.143133,2010.065563,eDCC,42
eDCC21,2004.017156,1997.741564,2008.732954,eDCC,34
eDCC22,2001.483642,1993.035167,2006.556626,eDCC,33
eDCC23,1994.962485,1985.660205,2000.495972,eDCC,30
eDCC24,2001.732855,1995.445015,2006.019442,eDCC,30
eDCC25,1991.669944,1983.053369,1997.019983,eDCC,27
eDCC26,2009.11637,2005.865671,2011.157351,eDCC,25
eDCC27,2006.468688,1991.689698,2010.675435,eDCC,21
eDCC28,2012.278082,2010.037681,2013.69185,eDCC,14
eDCC29,2013.106961,1998.494808,2016.409044,eDCC,10
eDCC30,2007.586852,2003.914868,2009.868904,eDCC,225
eDCC31,1998.329605,1990.920232,2003.182656,eDCC,50
eDCC32,2004.465758,1999.667959,2007.400065,eDCC,45
eDCC33,2014.890873,2013.068033,2019.538423,eDCC,18
eDCC34,2013.664371,2010.466332,2015.478403,eDCC,18
eDCC35,2001.284024,1995.202243,2005.439093,eDCC,15
eDCC36,2016.552326,2015.151771,2017.292165,eDCC,10
eDCC37,2017.991643,2016.738733,2018.589253,eDCC,10
eDCC38,2008.739034,2005.636725,2010.895596,eDCC,64
